fullname,LastName,FirstName,Date,Start,Pos,Min,SoTA,GA,Saves,PSxG,PKatt,PKA,PKm,PassAtt,Throws,AvgLen,GKAtt,GKAvgLen,C,GkID
Aaron Ramsdale,Ramsdale,Aaron,10/30/2021,1,GK,90,8,0,8,2.2,0,0,0,40,5,42.9,7,55.1,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/22/2021,1,GK,90,4,1,3,1.3,0,0,0,23,8,31.1,3,73.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/18/2021,1,GK,90,6,2,4,0.9,0,0,0,24,5,35.9,3,32.7,0,2
Aaron Ramsdale,Ramsdale,Aaron,10/2/2021,1,GK,90,2,0,2,0.2,0,0,0,22,10,33.1,15,53.8,0,2
Aaron Ramsdale,Ramsdale,Aaron,9/26/2021,1,GK,90,4,1,3,1.8,0,0,0,29,2,39.0,9,61.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,9/18/2021,1,GK,90,3,0,3,0.2,0,0,0,40,10,26.2,8,71.6,0,2
Aaron Ramsdale,Ramsdale,Aaron,9/11/2021,1,GK,90,1,0,1,0.0,0,0,0,24,5,29.4,6,44.8,0,2
Bernd Leno,Leno,Bernd,8/28/2021,1,GK,90,10,5,5,5.4,0,0,0,20,4,43.7,11,64.0,0,3
Bernd Leno,Leno,Bernd,8/22/2021,1,GK,90,5,2,3,2.5,0,0,0,17,5,29.3,7,33.3,0,3
Bernd Leno,Leno,Bernd,8/13/2021,1,GK,90,3,2,1,1.0,0,0,0,27,3,27.4,8,41.5,0,3
Aaron Ramsdale,Ramsdale,Aaron,2/25/2023,1,GK,90,0,0,0,0.0,0,0,0,25,5,28.3,3,51.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/18/2023,1,GK,90,5,2,3,0.8,0,0,0,19,4,23.2,2,21.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/15/2023,1,GK,90,5,3,2,1.3,0,0,0,37,7,29.8,3,68.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/11/2023,1,GK,90,2,1,1,1.0,0,0,0,28,5,34.1,3,15.3,0,2
Aaron Ramsdale,Ramsdale,Aaron,2/4/2023,1,GK,90,4,1,3,1.1,0,0,0,27,9,27.6,5,37.4,0,2
Aaron Ramsdale,Ramsdale,Aaron,1/22/2023,1,GK,90,4,2,2,0.6,0,0,0,26,1,34.5,0,,0,2
Aaron Ramsdale,Ramsdale,Aaron,1/15/2023,1,GK,90,7,0,7,2.5,0,0,0,23,6,45.1,2,73.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,1/3/2023,1,GK,90,1,0,1,0.3,0,0,0,19,6,28.5,5,33.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/31/2022,1,GK,90,5,2,3,2.2,0,0,0,31,3,46.7,6,67.0,0,2
Aaron Ramsdale,Ramsdale,Aaron,12/26/2022,1,GK,90,4,1,3,1.3,1,1,0,20,4,27.5,2,47.5,0,2
Aaron Ramsdale,Ramsdale,Aaron,11/12/2022,1,GK,90,2,0,2,0.4,0,0,0,22,7,24.7,5,52.4,0,2
Aaron Ramsdale,Ramsdale,Aaron,11/6/2022,1,GK,90,1,0,1,0.1,0,0,0,28,4,32.3,2,42.5,0,2
