Season,Tour,Date,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee,MatchID
2020/21,29,2021-03-21,2024-03-25T16:00:00.000Z,West Ham,away,3,3,London Stadium,0,Mikel Arteta,Jonathan Moss,142
2020/21,30,2021-04-03,2024-03-25T21:00:00.000Z,Liverpool,home,0,3,Emirates Stadium,0,Mikel Arteta,Stuart Attwell,143
2020/21,31,2021-04-11,2024-03-25T20:00:00.000Z,Sheff Utd,away,3,0,Bramall Lane,0,Mikel Arteta,Peter Bankes,144
2020/21,32,2021-04-18,2024-03-25T14:30:00.000Z,Fulham,home,1,1,Emirates Stadium,0,Mikel Arteta,Craig Pawson,145
2020/21,33,2021-04-23,2024-03-25T21:00:00.000Z,Everton,home,0,1,Emirates Stadium,0,Mikel Arteta,Jonathan Moss,146
2020/21,34,2021-05-02,2024-03-25T15:00:00.000Z,Newcastle,away,2,0,St James' Park,0,Mikel Arteta,Mike Dean,147
2020/21,35,2021-05-09,2024-03-25T20:00:00.000Z,West Brom,home,3,1,Emirates Stadium,0,Mikel Arteta,Peter Bankes,148
2020/21,36,2021-05-12,2024-03-25T21:15:00.000Z,Chelsea,away,1,0,Stamford Bridge,0,Mikel Arteta,Andre Marriner,149
2020/21,37,2021-05-19,2024-03-25T20:00:00.000Z,Crystal Palace,away,3,1,Selhurst Park,6500,Mikel Arteta,Anthony Taylor,150
2020/21,38,2021-05-23,2024-03-25T17:00:00.000Z,Brighton,home,2,0,Emirates Stadium,10000,Mikel Arteta,Jonathan Moss,151
2021/22,1,2021-08-13,2024-03-25T21:00:00.000Z,Brentford,away,0,2,Brentford Community Stadium  ,16479,Mikel Arteta,Michael Oliver,152
2021/22,2,2021-08-22,2024-03-25T17:30:00.000Z,Chelsea,home,0,2,Emirates Stadium,58729,Mikel Arteta,Paul Tierney,153
2021/22,3,2021-08-28,2024-03-25T13:30:00.000Z,Man City,away,0,5,Etihad Stadium,52276,Mikel Arteta,Martin Atkinson,154
2021/22,4,2021-09-11,2024-03-25T16:00:00.000Z,Norwich,home,1,0,Emirates Stadium,60000,Mikel Arteta,Michael Oliver,155
2021/22,5,2021-09-18,2024-03-25T16:00:00.000Z,Burnley,away,1,0,Turf Moor,21944,Mikel Arteta,Anthony Taylor,156
2021/22,6,2021-09-26,2024-03-25T17:30:00.000Z,Tottenham,home,3,1,Emirates Stadium,59919,Mikel Arteta,Craig Pawson,157
2021/22,7,2021-10-02,2024-03-25T18:30:00.000Z,Brighton,away,0,0,AMEX Stadium,31266,Mikel Arteta,Jonathan Moss,158
2021/22,8,2021-10-18,2024-03-25T21:00:00.000Z,Crystal Palace,home,2,2,Emirates Stadium,59475,Mikel Arteta,Mike Dean,159
2021/22,9,2021-10-22,2024-03-25T21:00:00.000Z,Aston Villa,home,3,1,Emirates Stadium,59496,Mikel Arteta,Craig Pawson,160
2021/22,10,2021-10-30,2024-03-25T13:30:00.000Z,Leicester,away,2,0,King Power Stadium,32209,Mikel Arteta,Michael Oliver,161
2021/22,11,2021-11-07,2024-03-25T15:00:00.000Z,Watford,home,1,0,Emirates Stadium,59833,Mikel Arteta,Kevin Friend,162
2021/22,12,2021-11-20,2024-03-25T18:30:00.000Z,Liverpool,away,0,4,Anfield,53092,Mikel Arteta,Michael Oliver,163
2021/22,13,2021-11-27,2024-03-25T13:30:00.000Z,Newcastle,home,2,0,Emirates Stadium,59886,Mikel Arteta,Stuart Attwell,164
2021/22,14,2021-12-02,2024-03-25T21:15:00.000Z,Man Utd,away,2,3,Old Trafford,73123,Mikel Arteta,Martin Atkinson,165
2021/22,15,2021-12-06,2024-03-25T21:00:00.000Z,Everton,away,1,2,Goodison Park,38906,Mikel Arteta,Mike Dean,166
2021/22,16,2021-12-11,2024-03-25T16:00:00.000Z,Southampton,home,3,0,Emirates Stadium,59653,Mikel Arteta,Jarred Gillett,167
2021/22,17,2021-12-15,2024-03-25T21:00:00.000Z,West Ham,home,2,0,Emirates Stadium,59777,Mikel Arteta,Anthony Taylor,168
2021/22,18,2021-12-18,2024-03-25T18:30:00.000Z,Leeds,away,4,1,Elland Road,36166,Mikel Arteta,Andre Marriner,169
2021/22,19,2021-12-26,2024-03-25T16:00:00.000Z,Norwich,away,5,0,Carrow Road,26940,Mikel Arteta,Graham Scott,170
2021/22,21,2022-01-01,2024-03-25T13:30:00.000Z,Man City,home,1,2,Emirates Stadium,59757,Albert Stuivenberg,Stuart Attwell,171
2021/22,23,2022-01-23,2024-03-25T15:00:00.000Z,Burnley,home,0,0,Emirates Stadium,59255,Mikel Arteta,David Coote,172
2021/22,24,2022-02-10,2024-03-25T20:45:00.000Z,Wolves,away,1,0,Molineux Stadium,31523,Mikel Arteta,Michael Oliver,173
2021/22,26,2022-02-19,2024-03-25T16:00:00.000Z,Brentford,home,2,1,Emirates Stadium,60015,Mikel Arteta,Jonathan Moss,174
2021/22,20,2022-02-24,2024-03-25T20:45:00.000Z,Wolves,home,2,1,Emirates Stadium,59888,Mikel Arteta,Martin Atkinson,175
2021/22,28,2022-03-06,2024-03-25T15:00:00.000Z,Watford,away,3,2,Vicarage Road,21142,Mikel Arteta,Craig Pawson,176
2021/22,29,2022-03-13,2024-03-25T17:30:00.000Z,Leicester,home,2,0,Emirates Stadium,60111,Mikel Arteta,Anthony Taylor,177
2021/22,27,2022-03-16,2024-03-25T21:15:00.000Z,Liverpool,home,0,2,Emirates Stadium,59968,Mikel Arteta,Andre Marriner,178
2021/22,30,2022-03-19,2024-03-25T13:30:00.000Z,Aston Villa,away,1,0,Villa Park,41956,Mikel Arteta,Andrew Madley,179
2021/22,31,2022-04-04,2024-03-25T21:00:00.000Z,Crystal Palace,away,0,3,Selhurst Park,25149,Mikel Arteta,Paul Tierney,180
2021/22,32,2022-04-09,2024-03-25T16:00:00.000Z,Brighton,home,1,2,Emirates Stadium,60112,Mikel Arteta,David Coote,181
2021/22,33,2022-04-16,2024-03-25T16:00:00.000Z,Southampton,away,0,1,St Mary's Stadium,31465,Mikel Arteta,Peter Bankes,182
2021/22,25,2022-04-20,2024-03-25T20:45:00.000Z,Chelsea,away,4,2,Stamford Bridge,32249,Mikel Arteta,Jonathan Moss,183
2021/22,34,2022-04-23,2024-03-25T13:30:00.000Z,Man Utd,home,3,1,Emirates Stadium,60223,Mikel Arteta,Craig Pawson,184
2021/22,35,2022-05-01,2024-03-25T17:30:00.000Z,West Ham,away,2,1,London Stadium,59959,Mikel Arteta,Mike Dean,185
2021/22,36,2022-05-08,2024-03-25T15:00:00.000Z,Leeds,home,2,1,Emirates Stadium,60108,Mikel Arteta,Chris Kavanagh,186
2021/22,22,2022-05-12,2024-03-25T20:45:00.000Z,Tottenham,away,0,3,Tottenham Hotspur Stadium,62027,Mikel Arteta,Paul Tierney,187
2021/22,37,2022-05-16,2024-03-25T21:00:00.000Z,Newcastle,away,0,2,St James' Park,52274,Mikel Arteta,Darren England,188
