Jack Wilshere,Wilshere,Jack,11/5/2017,0,DM,13,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,10,11,3,9,0,Midfielder,0,29
Hector Bellerin,Bellerin,Hector,11/18/2017,1,WB,90,0,0,0,0,1,0,0,0,61,0,2,0,0.1,0.1,0.0,34,51,5,34,1,Defender,0,2
Sead Kolasinac,Kolasinac,Sead,11/18/2017,1,WB,90,0,0,0,0,1,0,0,0,59,2,1,0,0.0,0.0,0.0,31,48,6,27,3,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,11/18/2017,1,CB,90,0,0,0,0,0,0,0,0,62,3,3,2,0.0,0.0,0.0,28,41,1,24,1,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,11/18/2017,1,FW,72,0,1,0,0,1,0,0,0,27,0,0,2,0.1,0.1,0.5,16,21,1,20,0,Forward,0,10
Nacho Monreal,Monreal,Nacho,11/18/2017,1,CB,90,0,0,0,0,0,0,1,0,49,1,5,0,0.0,0.0,0.0,33,38,6,24,1,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,11/18/2017,1,CB,90,1,0,0,0,1,1,1,0,54,0,2,1,0.1,0.1,0.0,24,35,4,18,0,Defender,0,8
Mesut Ozil,Ozil,Mesut,11/18/2017,1,AM,83,0,1,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.6,28,40,4,31,2,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,11/18/2017,1,CM,90,0,0,0,0,0,0,0,0,51,5,2,2,0.0,0.0,0.0,27,38,5,27,1,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,11/18/2017,1,AM,90,1,0,0,0,6,4,1,0,57,2,0,0,1.7,1.7,0.2,25,40,9,46,3,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,11/18/2017,1,CM,90,0,0,0,0,2,0,1,0,59,1,0,1,0.1,0.1,0.0,35,49,6,28,2,Midfielder,0,44
Alex Iwobi,Iwobi,Alex,11/18/2017,0,AM,7,0,0,0,0,2,0,0,0,8,1,0,0,0.1,0.1,0.0,4,5,0,7,0,Midfielder,0,50
Hector Bellerin,Bellerin,Hector,11/26/2017,1,WB,90,0,0,0,0,1,0,0,0,69,3,0,0,0.0,0.0,0.1,53,60,2,40,3,Defender,0,2
Alex Iwobi,Iwobi,Alex,11/26/2017,1,AM,66,0,0,0,0,1,0,0,0,49,1,0,0,0.0,0.0,0.0,41,46,3,41,5,Midfielder,0,50
Sead Kolasinac,Kolasinac,Sead,11/26/2017,1,WB,90,0,0,0,0,2,0,0,0,61,0,0,0,0.2,0.2,0.0,33,56,1,27,5,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,11/26/2017,1,CB,90,0,0,0,0,0,0,0,0,95,1,0,2,0.0,0.0,0.1,74,84,4,66,6,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,11/26/2017,1,FW,78,0,0,0,0,2,1,0,0,34,0,0,0,0.1,0.1,0.3,24,29,3,20,2,Forward,0,10
Nacho Monreal,Monreal,Nacho,11/26/2017,1,CB,90,0,0,0,0,4,0,0,0,91,1,1,1,0.1,0.1,0.0,69,81,3,54,4,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,11/26/2017,1,CB,90,0,0,0,0,0,0,0,0,85,3,2,1,0.0,0.0,0.0,61,74,3,40,0,Defender,0,8
Aaron Ramsey,Ramsey,Aaron,11/26/2017,1,CM,90,0,0,0,0,4,0,0,0,77,1,0,0,0.4,0.4,0.0,62,70,8,56,4,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,11/26/2017,1,AM,90,1,0,1,1,1,0,0,0,71,1,1,0,0.8,0.0,0.3,40,62,6,47,3,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,11/26/2017,1,CM,90,0,0,0,0,1,0,0,0,86,0,1,0,0.0,0.0,0.0,69,82,7,60,1,Midfielder,0,44
Danny Welbeck,Welbeck,Danny,11/26/2017,0,FW,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1,0,1,0,Forward,0,13
Jack Wilshere,Wilshere,Jack,11/26/2017,0,AM,24,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,11,11,1,8,0,Midfielder,0,29
Hector Bellerin,Bellerin,Hector,11/29/2017,1,WB,90,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.2,52,58,4,24,2,Defender,0,2
Sead Kolasinac,Kolasinac,Sead,11/29/2017,1,WB,90,0,1,0,0,2,0,0,0,59,2,0,1,0.9,0.9,0.8,37,53,2,19,3,Defender,0,18
Laurent Koscielny,Koscielny,Laurent,11/29/2017,1,CB,90,0,0,0,0,0,0,0,0,117,1,3,1,0.0,0.0,0.0,102,110,4,56,0,Defender,1,43
Alexandre Lacazette,Lacazette,Alexandre,11/29/2017,1,FW,45,1,0,0,0,2,1,0,0,25,1,0,0,0.3,0.3,0.0,15,20,2,11,1,Forward,0,10
Nacho Monreal,Monreal,Nacho,11/29/2017,1,CB,90,0,0,0,0,1,0,0,0,109,5,2,1,0.1,0.1,0.0,92,100,8,55,1,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,11/29/2017,1,CB,90,0,0,0,0,0,0,0,0,122,4,7,0,0.0,0.0,0.0,99,107,5,57,0,Defender,0,8
Mesut Ozil,Ozil,Mesut,11/29/2017,1,AM,90,1,2,0,0,2,1,0,0,111,0,1,0,0.5,0.5,0.6,86,104,17,50,2,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,11/29/2017,1,CM,72,0,2,0,0,1,0,0,0,65,1,1,1,0.0,0.0,1.2,46,57,9,40,0,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,11/29/2017,1,AM,72,1,0,0,0,3,1,0,0,43,0,0,0,0.2,0.2,0.1,27,36,7,26,1,Midfielder,0,41
Granit Xhaka,Xhaka,Granit,11/29/2017,1,CM,90,0,0,0,0,4,1,0,0,137,3,0,0,0.1,0.1,0.1,115,127,19,72,2,Midfielder,0,44
Danny Welbeck,Welbeck,Danny,11/29/2017,0,AM,18,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,8,10,0,7,0,Midfielder,0,13
Jack Wilshere,Wilshere,Jack,11/29/2017,0,CM,18,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,19,23,4,16,2,Midfielder,0,29
Hector Bellerin,Bellerin,Hector,12/2/2017,1,RB,90,0,0,0,0,1,1,1,0,65,1,0,0,0.0,0.0,0.0,57,61,7,42,0,Defender,0,2
