Date,ArsenalScore,OpponentScore,Attendance,MatchID,Start,Pos,Min,G,A,PK,PKA,S,SoT,YK,RK,Touches,Tackles,Ints,Blocks,xG,npxG,xAG,Passes,PassesA,PrgPas,Carries,PrgCar,PlayerID
2021-11-07,1,0,59833,162,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,0,4,53092,163,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,2,0,59886,164,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-02,2,3,73123,165,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-06,1,2,38906,166,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-11,3,0,59653,167,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-15,2,0,59777,168,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-18,4,1,36166,169,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-26,5,0,26940,170,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,1,2,59757,171,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23,0,0,59255,172,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,1,0,31523,173,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19,2,1,60015,174,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,2,1,59888,175,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,3,2,21142,176,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,2,0,60111,177,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,0,2,59968,178,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,1,0,41956,179,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,0,3,25149,180,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-09,1,2,60112,181,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,0,1,31465,182,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-20,4,2,32249,183,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-23,3,1,60223,184,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,2,1,59959,185,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-08,2,1,60108,186,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,0,3,62027,187,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,0,2,52274,188,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,5,1,60201,189,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-05,2,0,25286,190,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,4,2,60033,191,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,3,0,10423,192,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,2,1,60164,193,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,2,1,60012,194,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-04,1,3,74310,195,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-18,3,0,17122,196,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,3,1,60278,197,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-09,3,2,60059,198,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,1,0,36700,199,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,1,1,31145,200,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,5,0,60263,201,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,1,0,40142,202,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,2,0,34624,203,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,3,1,60125,204,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,4,2,31647,205,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,0,0,60319,206,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,2,0,61870,207,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,3,2,60325,208,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,0,1,39314,209,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,1,1,60254,210,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15,1,3,60276,211,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,4,2,42066,212,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-25,1,0,32227,213,,,,,,,,,,,,,,,,,,,,,,,,
